PUMA,Place,puma_to_place_factor,place_code
2901,"Pine Mountain Club CDP, CA",0.042,57240
2901,"Rosedale CDP, CA",0.073,62854
2901,"Shafter city, CA",0.087,71106
2901,"Smith Corner CDP, CA",0.003,72338
2901,"South Taft CDP, CA",0.014,73388
2901,"Taft city, CA",0.049,77574
2901,"Taft Heights CDP, CA",0.015,77588
2901,"Tupman CDP, CA",0.001,80784
2901,"Valley Acres CDP, CA",0.004,81722
2901,"Wasco city, CA",0.106,83542
2901,Unincorporated_2901,0.14,99999
2902,"Bakersfield city, CA",0.909,3526
2902,"Greenacres CDP, CA",0.029,30938
2902,"Rosedale CDP, CA",0.014,62854
2902,Unincorporated_2902,0.048,99999
2903,"Bakersfield city, CA",0.619,3526
2903,Unincorporated_2903,0.381,99999
2904,"Bakersfield city, CA",0.578,3526
2904,"Fuller Acres CDP, CA",0.009,27190
2904,"Greenfield CDP, CA",0.044,30987
2904,"Lamont CDP, CA",0.116,40088
2904,"Weedpatch CDP, CA",0.022,83863
2904,Unincorporated_2904,0.232,99999
2905,"Arvin city, CA",0.058,2924
2905,"Bakersfield city, CA",0.001,3526
2905,"Bear Valley Springs CDP, CA",0.035,4734
2905,"Bodfish CDP, CA",0.015,7274
2905,"Boron CDP, CA",0.016,7568
2905,"California City city, CA",0.068,9780
2905,"China Lake Acres CDP, CA",0.011,13157
2905,"Edmundson Acres CDP, CA",0.001,21558
2905,"Edwards AFB CDP, CA",0.01,21600
2905,"Golden Hills CDP, CA",0.046,30282
2905,"Inyokern CDP, CA",0.007,36658
2905,"Johannesburg CDP, CA",0.002,37400
2905,"Keene CDP, CA",0.003,37946
2905,"Kernville CDP, CA",0.014,38310
2905,"Lake Isabella CDP, CA",0.028,39570
2905,"Lebec CDP, CA",0,40956
2905,"Mojave CDP, CA",0.024,48452
2905,"Mountain Mesa CDP, CA",0.005,49600
2905,"North Edwards CDP, CA",0.007,51812
2905,"Oildale CDP, CA",0.176,53448
2905,"Onyx CDP, CA",0.004,53910
2905,"Randsburg CDP, CA",0.001,59668
2905,"Ridgecrest city, CA",0.155,60704
2905,"Rosamond CDP, CA",0.09,62826
2905,"Squirrel Mountain Valley CDP, CA",0.004,73815
2905,"Stallion Springs CDP, CA",0.016,73868
2905,"Tehachapi city, CA",0.046,78092
2905,"Weldon CDP, CA",0.021,83948
2905,"Wofford Heights CDP, CA",0.025,86174
2905,Unincorporated_2905,0.113,99999
3100,"Armona CDP, CA",0.027,2700
3100,"Avenal city, CA",0.055,3302
3100,"Corcoran city, CA",0.09,16224
3100,"Grangeville CDP, CA",0.004,30686
3100,"Hanford city, CA",0.422,31960
3100,"Hardwick CDP, CA",0.001,32156
3100,"Home Garden CDP, CA",0.011,34281
3100,"Kettleman City CDP, CA",0.008,38394
3100,"Lemoore city, CA",0.197,41152
3100,"Lemoore Station CDP, CA",0.037,41166
3100,"Stratford CDP, CA",0.007,75252
3100,Unincorporated_3100,0.141,99999
3300,"Albion CDP, CA",0.001,716
3300,"Anchor Bay CDP, CA",0.004,2028
3300,"Boonville CDP, CA",0.005,7512
3300,"Brooktrails CDP, CA",0.019,8530
3300,"Calpella CDP, CA",0.004,9990
3300,"Caspar CDP, CA",0.004,11768
3300,"Clearlake city, CA",0.106,13945
3300,"Clearlake Oaks CDP, CA",0.024,13966
3300,"Clearlake Riviera CDP, CA",0.021,13985
3300,"Cleone CDP, CA",0.005,14008
3300,"Cobb CDP, CA",0.014,14302
3300,"Comptche CDP, CA",0.001,15030
3300,"Covelo CDP, CA",0.007,16728
3300,"Fort Bragg city, CA",0.042,25058
3300,"Hidden Valley Lake CDP, CA",0.034,33549
3300,"Hopland CDP, CA",0.004,34652
3300,"Kelseyville CDP, CA",0.018,38044
3300,"Lakeport city, CA",0.032,39710
3300,"Laytonville CDP, CA",0.007,40928
3300,"Leggett CDP, CA",0.001,41026
3300,"Little River CDP, CA",0.001,41866
3300,"Lower Lake CDP, CA",0.009,44350
3300,"Lucerne CDP, CA",0.024,44406
3300,"Manchester CDP, CA",0.001,45386
3300,"Mendocino CDP, CA",0.008,46814
3300,"Middletown CDP, CA",0.007,47332
3300,"Nice CDP, CA",0.022,51294
3300,"North Lakeport CDP, CA",0.023,51990
3300,"Philo CDP, CA",0.002,56868
3300,"Point Arena city, CA",0.003,57876
3300,"Potter Valley CDP, CA",0.004,58506
3300,"Redwood Valley CDP, CA",0.009,60214
3300,"Soda Bay CDP, CA",0.009,72478
3300,"Spring Valley CDP, CA",0.006,73690
3300,"Talmage CDP, CA",0.005,77784
3300,"Ukiah city, CA",0.086,81134
3300,"Upper Lake CDP, CA",0.006,81358
3300,"Willits city, CA",0.027,85600
3300,Unincorporated_3300,0.394,99999
3701,"Acton CDP, CA",0.063,212
3701,"Agua Dulce CDP, CA",0.028,450
3701,"Azusa city, CA",0.001,3386
3701,"Castaic CDP, CA",0.132,11796
3701,"Elizabeth Lake CDP, CA",0.017,21964
3701,"Green Valley CDP, CA",0.011,31092
3701,"Hasley Canyon CDP, CA",0.009,32385
3701,"Lake Hughes CDP, CA",0.009,39556
3701,"Lake Los Angeles CDP, CA",0.082,39612
3701,"Lancaster city, CA",0.023,40130
3701,"Leona Valley CDP, CA",0.014,41208
3701,"Littlerock CDP, CA",0.01,41880
3701,"Palmdale city, CA",0.017,55156
3701,"Santa Clarita city, CA",0.108,69088
3701,"Stevenson Ranch CDP, CA",0.13,74130
3701,"Sun Village CDP, CA",0.073,77308
3701,"Val Verde CDP, CA",0.016,81967
3701,Unincorporated_3701,0.257,99999
3702,"Santa Clarita city, CA",0.863,69088
3702,Unincorporated_3702,0.137,99999
3703,"Lancaster city, CA",0.908,40130
3703,"Quartz Hill CDP, CA",0.053,59052
3703,Unincorporated_3703,0.039,99999
3704,"Acton CDP, CA",0,212
3704,"Desert View Highlands CDP, CA",0.015,19052
3704,"Lancaster city, CA",0.01,40130
3704,"Leona Valley CDP, CA",0.001,41208
3704,"Palmdale city, CA",0.907,55156
3704,"Quartz Hill CDP, CA",0.021,59052
3704,"Sun Village CDP, CA",0.001,77308
3704,Unincorporated_3704,0.044,99999
3705,"Los Angeles city, CA",0.987,44000
3705,Unincorporated_3705,0.013,99999
3706,"Los Angeles city, CA",1,44000
3707,"Los Angeles city, CA",0.814,44000
3707,"San Fernando city, CA",0.174,66140
3707,Unincorporated_3707,0.011,99999
3708,"Los Angeles city, CA",1,44000
3708,Unincorporated_3708,0,99999
3709,"Altadena CDP, CA",0.371,1290
3709,"Glendale city, CA",0.007,30000
3709,"La Cañada Flintridge city, CA",0.168,39003
3709,"La Crescenta-Montrose CDP, CA",0.174,39045
3709,"Monrovia city, CA",0.102,48648
3709,"Pasadena city, CA",0.043,56000
3709,"Sierra Madre city, CA",0.121,71806
3709,Unincorporated_3709,0.013,99999
3710,"Arcadia city, CA",0.003,2462
3710,"Azusa city, CA",0.279,3386
3710,"Baldwin Park city, CA",0.312,3666
3710,"Bradbury city, CA",0.008,7946
3710,"Citrus CDP, CA",0.054,13560
3710,"Duarte city, CA",0.151,19990
3710,"Glendora city, CA",0.007,30014
3710,"Irwindale city, CA",0.008,36826
3710,"Mayflower Village CDP, CA",0.041,46436
3710,"Monrovia city, CA",0.077,48648
3710,"South Monrovia Island CDP, CA",0.034,73167
3710,"Vincent CDP, CA",0.014,82814
3710,Unincorporated_3710,0.013,99999
3711,"Charter Oak CDP, CA",0.047,12734
3711,"Citrus CDP, CA",0.002,13560
3711,"Claremont city, CA",0.206,13756
3711,"Covina city, CA",0.02,16742
3711,"Glendora city, CA",0.295,30014
3711,"La Verne city, CA",0.198,40830
3711,"Pomona city, CA",0.011,58072
3711,"San Dimas city, CA",0.2,66070
3711,Unincorporated_3711,0.021,99999
3712,"Pomona city, CA",0.998,58072
3712,Unincorporated_3712,0.002,99999
3713,"Charter Oak CDP, CA",0.011,12734
3713,"Covina city, CA",0.429,16742
3713,"San Dimas city, CA",0.019,66070
3713,"South San Jose Hills CDP, CA",0.01,73290
3713,"Vincent CDP, CA",0.091,82814
3713,"Walnut city, CA",0.253,83332
3713,"West Covina city, CA",0.13,84200
3713,Unincorporated_3713,0.056,99999
3714,"Diamond Bar city, CA",0.524,19192
3714,"Hacienda Heights CDP, CA",0,31596
3714,"Industry city, CA",0,36490
3714,"La Habra Heights city, CA",0.032,39304
3714,"Pomona city, CA",0.007,58072
3714,"Rowland Heights CDP, CA",0.43,63218
3714,"South San Jose Hills CDP, CA",0.001,73290
3714,Unincorporated_3714,0.007,99999
3715,"Baldwin Park city, CA",0.039,3666
3715,"Covina city, CA",0.017,16742
3715,"South San Jose Hills CDP, CA",0.113,73290
3715,"Valinda CDP, CA",0.028,81638
3715,"Vincent CDP, CA",0.006,82814
3715,"West Covina city, CA",0.797,84200
3716,"Avocado Heights CDP, CA",0.15,3344
3716,"Baldwin Park city, CA",0.056,3666
3716,"Hacienda Heights CDP, CA",0,31596
3716,"Industry city, CA",0.002,36490
3716,"La Puente city, CA",0.373,40340
3716,"South El Monte city, CA",0.014,72996
3716,"Valinda CDP, CA",0.157,81638
3716,"West Covina city, CA",0.037,84200
3716,"West Puente Valley CDP, CA",0.187,84774
3716,Unincorporated_3716,0.022,99999
3717,"Arcadia city, CA",0.305,2462
3717,"East Pasadena CDP, CA",0.032,20984
3717,"East San Gabriel CDP, CA",0.08,21096
3717,"El Monte city, CA",0.008,22230
3717,"Monrovia city, CA",0.096,48648
3717,"North El Monte CDP, CA",0.019,51820
3717,"Pasadena city, CA",0,56000
3717,"San Gabriel city, CA",0.176,67042
3717,"San Marino city, CA",0.066,68224
3717,"Temple City city, CA",0.18,78148
3717,Unincorporated_3717,0.037,99999
3718,"Altadena CDP, CA",0.005,1290
3718,"Pasadena city, CA",0.978,56000
3718,"San Pasqual CDP, CA",0.016,68308
3719,"Glendale city, CA",1,30000
3720,"Burbank city, CA",0.861,8954
3720,"Los Angeles city, CA",0.139,44000
3721,"Los Angeles city, CA",1,44000
3722,"Los Angeles city, CA",1,44000
3723,"Los Angeles city, CA",1,44000
3724,"Los Angeles city, CA",1,44000
3725,"Los Angeles city, CA",0.995,44000
3725,Unincorporated_3725,0.005,99999
3726,"Agoura Hills city, CA",0.184,394
3726,"Calabasas city, CA",0.215,9598
3726,"Hidden Hills city, CA",0.015,33518
3726,"Los Angeles city, CA",0.165,44000
3726,"Malibu city, CA",0.166,45246
3726,"Topanga CDP, CA",0.091,78960
3726,"Westlake Village city, CA",0.082,84438
3726,Unincorporated_3726,0.083,99999
3727,"Los Angeles city, CA",1,44000
3727,Unincorporated_3727,0,99999
3728,"Los Angeles city, CA",0.128,44000
3728,"Santa Monica city, CA",0.872,70000
3729,"Los Angeles city, CA",0.999,44000
3729,Unincorporated_3729,0.001,99999
3730,"Los Angeles city, CA",1,44000
3731,"Beverly Hills city, CA",0.252,6308
3731,"Los Angeles city, CA",0.371,44000
3731,"West Hollywood city, CA",0.378,84410
3732,"Los Angeles city, CA",1,44000
3733,"Los Angeles city, CA",1,44000
3734,"Los Angeles city, CA",1,44000
3735,"Los Angeles city, CA",1,44000
3735,"South Pasadena city, CA",0,73220
3736,"Alhambra city, CA",0.699,884
3736,"Los Angeles city, CA",0.05,44000
3736,"South Pasadena city, CA",0.251,73220
3737,"East Los Angeles CDP, CA",0.016,20802
3737,"El Monte city, CA",0,22230
3737,"Monterey Park city, CA",0.524,48914
3737,"Rosemead city, CA",0.369,62896
3737,"San Gabriel city, CA",0.035,67042
3737,"South San Gabriel CDP, CA",0.052,73276
3737,Unincorporated_3737,0.004,99999
3738,"Arcadia city, CA",0,2462
3738,"El Monte city, CA",0.864,22230
3738,"South El Monte city, CA",0.132,72996
3738,Unincorporated_3738,0.004,99999
3739,"Hacienda Heights CDP, CA",0.308,31596
3739,"Industry city, CA",0,36490
3739,"La Habra Heights city, CA",0.014,39304
3739,"Pico Rivera city, CA",0,56924
3739,"Rose Hills CDP, CA",0.019,62860
3739,"Santa Fe Springs city, CA",0,69154
3739,"West Whittier-Los Nietos CDP, CA",0.119,84921
3739,"Whittier city, CA",0.534,85292
3739,Unincorporated_3739,0.006,99999
3740,"East Los Angeles CDP, CA",0.005,20802
3740,"Montebello city, CA",0.523,48816
3740,"Pico Rivera city, CA",0.453,56924
3740,"Rosemead city, CA",0.003,62896
3740,"South San Gabriel CDP, CA",0.008,73276
3740,Unincorporated_3740,0.009,99999
3741,"Bell city, CA",0.258,4870
3741,"Bell Gardens city, CA",0.28,4996
3741,"Commerce city, CA",0.097,14974
3741,"Cudahy city, CA",0.162,17498
3741,"Huntington Park city, CA",0.014,36056
3741,"Maywood city, CA",0.19,46492
3742,"Florence-Graham CDP, CA",0.457,24477
3742,"Huntington Park city, CA",0.454,36056
3742,"Vernon city, CA",0.001,82422
3742,"Walnut Park CDP, CA",0.088,83402
3743,"East Los Angeles CDP, CA",0.999,20802
3743,"Montebello city, CA",0.001,48816
3744,"Los Angeles city, CA",1,44000
3745,"Los Angeles city, CA",1,44000
3746,"Los Angeles city, CA",1,44000
3747,"Los Angeles city, CA",1,44000
3748,"Culver City city, CA",0.203,17568
3748,"Inglewood city, CA",0.001,36546
3748,"Ladera Heights CDP, CA",0.033,39108
3748,"Los Angeles city, CA",0.627,44000
3748,"Marina del Rey CDP, CA",0.078,45806
3748,"View Park-Windsor Hills CDP, CA",0.056,82667
3748,Unincorporated_3748,0.001,99999
3749,"Hawthorne city, CA",0,32548
3749,"Inglewood city, CA",0.966,36546
3749,"Lennox CDP, CA",0.034,41180
3750,"Los Angeles city, CA",1,44000
3751,"Los Angeles city, CA",1,44000
3752,"Compton city, CA",0.004,15044
3752,"East Rancho Dominguez CDP, CA",0.001,21034
3752,"Lynwood city, CA",0.372,44574
3752,"South Gate city, CA",0.589,73080
3752,"Walnut Park CDP, CA",0.022,83402
3752,Unincorporated_3752,0.012,99999
3753,"Downey city, CA",1,19766
3754,"East La Mirada CDP, CA",0.084,20746
3754,"La Mirada city, CA",0.375,40032
3754,"Santa Fe Springs city, CA",0.121,69154
3754,"South Whittier CDP, CA",0.388,73430
3754,"West Whittier-Los Nietos CDP, CA",0.013,84921
3754,"Whittier city, CA",0.019,85292
3755,"Bellflower city, CA",0.124,4982
3755,"Downey city, CA",0.013,19766
3755,"Norwalk city, CA",0.857,52526
3755,"Santa Fe Springs city, CA",0.002,69154
3755,Unincorporated_3755,0.004,99999
3756,"Bellflower city, CA",0.588,4982
3756,"Paramount city, CA",0.412,55618
3757,"Carson city, CA",0.004,11530
3757,"Compton city, CA",0.605,15044
3757,"East Rancho Dominguez CDP, CA",0.078,21034
3757,"West Rancho Dominguez CDP, CA",0.039,84780
3757,"Willowbrook CDP, CA",0.238,85614
3757,Unincorporated_3757,0.035,99999
3758,"Alondra Park CDP, CA",0.054,1150
3758,"Gardena city, CA",0.413,28168
3758,"Hawthorne city, CA",0.019,32548
3758,"Lawndale city, CA",0.195,40886
3758,"Los Angeles city, CA",0.068,44000
3758,"West Athens CDP, CA",0.047,84116
3758,"Westmont CDP, CA",0.204,84592
3759,"Del Aire CDP, CA",0.091,18352
3759,"Hawthorne city, CA",0.77,32548
3759,"Inglewood city, CA",0.005,36546
3759,"Lennox CDP, CA",0.111,41180
3759,"West Athens CDP, CA",0.006,84116
3759,Unincorporated_3759,0.016,99999
3760,"El Segundo city, CA",0.117,22412
3760,"Hermosa Beach city, CA",0.161,33364
3760,"Manhattan Beach city, CA",0.237,45400
3760,"Redondo Beach city, CA",0.485,60018
3761,"Torrance city, CA",1,80000
3762,"Carson city, CA",0.778,11530
3762,"West Carson CDP, CA",0.222,84144
3763,"Carson city, CA",0,11530
3763,"Lakewood city, CA",0.006,39892
3763,"Long Beach city, CA",0.994,43000
3764,"Artesia city, CA",0.091,2896
3764,"Cerritos city, CA",0.308,12552
3764,"Hawaiian Gardens city, CA",0.072,32506
3764,"Lakewood city, CA",0.528,39892
3764,Unincorporated_3764,0.001,99999
3765,"Long Beach city, CA",0.991,43000
3765,Unincorporated_3765,0.009,99999
3766,"Long Beach city, CA",1,43000
3767,"Los Angeles city, CA",0.989,44000
3767,Unincorporated_3767,0.011,99999
3768,"Avalon city, CA",0.049,3274
3768,"Lomita city, CA",0.184,42468
3768,"Palos Verdes Estates city, CA",0.115,55380
3768,"Rancho Palos Verdes city, CA",0.353,59514
3768,"Rolling Hills city, CA",0.016,62602
3768,"Rolling Hills Estates city, CA",0.068,62644
3768,"Torrance city, CA",0.19,80000
3768,Unincorporated_3768,0.024,99999
3769,"Long Beach city, CA",0.891,43000
3769,"Signal Hill city, CA",0.109,71876
3900,"Ahwahnee CDP, CA",0.021,478
3900,"Bass Lake CDP, CA",0.022,4198
3900,"Bonadelle Ranchos-Madera Ranchos CDP, CA",0.06,7379
3900,"Chowchilla city, CA",0.085,13294
3900,"Coarsegold CDP, CA",0.018,14288
3900,"Fairmead CDP, CA",0.008,23210
3900,"La Vina CDP, CA",0.001,40872
3900,"Madera city, CA",0.347,45022
3900,"Madera Acres CDP, CA",0.052,45050
3900,"Nipinnawasee CDP, CA",0.004,51470
3900,"Oakhurst CDP, CA",0.028,52764
3900,"Parksdale CDP, CA",0.012,55751
3900,"Parkwood CDP, CA",0.012,55842
3900,"Rolling Hills CDP, CA",0.006,62625
3900,"Yosemite Lakes CDP, CA",0.044,86878
3900,Unincorporated_3900,0.28,99999
4101,"Black Point-Green Point CDP, CA",0.013,6982
4101,"Bolinas CDP, CA",0.021,7316
4101,"Dillon Beach CDP, CA",0.009,19262
4101,"Fairfax town, CA",0.052,23168
4101,"Inverness CDP, CA",0.024,36616
4101,"Lagunitas-Forest Knolls CDP, CA",0.019,39283
4101,"Lucas Valley-Marinwood CDP, CA",0.052,44399
4101,"Muir Beach CDP, CA",0.003,49950
4101,"Nicasio CDP, CA",0.001,51280
4101,"Novato city, CA",0.454,52582
4101,"Point Reyes Station CDP, CA",0.011,57960
4101,"San Geronimo CDP, CA",0.004,67070
4101,"San Rafael city, CA",0.178,68364
4101,"Santa Venetia CDP, CA",0.037,70154
4101,"Sleepy Hollow CDP, CA",0,72184
4101,"Stinson Beach CDP, CA",0.017,74172
4101,"Tamalpais-Homestead Valley CDP, CA",0.001,77805
4101,"Tomales CDP, CA",0.003,78890
4101,"Woodacre CDP, CA",0.014,86216
4101,Unincorporated_4101,0.086,99999
4102,"Alto CDP, CA",0.005,1416
4102,"Belvedere city, CA",0.016,5164
4102,"Corte Madera town, CA",0.062,16462
4102,"Fairfax town, CA",0.018,23168
4102,"Kentfield CDP, CA",0.043,38114
4102,"Larkspur city, CA",0.099,40438
4102,"Marin City CDP, CA",0.02,45820
4102,"Mill Valley city, CA",0.101,47710
4102,"Ross town, CA",0.014,62980
4102,"San Anselmo town, CA",0.086,64434
4102,"San Rafael city, CA",0.243,68364
4102,"Sausalito city, CA",0.07,70364
4102,"Sleepy Hollow CDP, CA",0.013,72184
4102,"Strawberry CDP, CA",0.042,75315
4102,"Tamalpais-Homestead Valley CDP, CA",0.072,77805
4102,"Tiburon town, CA",0.062,78666
4102,Unincorporated_4102,0.034,99999
4701,"Ballico CDP, CA",0.004,3708
4701,"Cressey CDP, CA",0,17078
4701,"Delhi CDP, CA",0.086,18464
4701,"Dos Palos city, CA",0.051,19612
4701,"Dos Palos Y CDP, CA",0.004,19654
4701,"El Nido CDP, CA",0.003,22286
4701,"Gustine city, CA",0.063,31568
4701,"Hilmar-Irwin CDP, CA",0.055,33861
4701,"Le Grand CDP, CA",0.015,41040
4701,"Livingston city, CA",0.1,42006
4701,"Los Banos city, CA",0.343,44028
4701,"McSwain CDP, CA",0.001,45006
4701,"Merced city, CA",0,46898
4701,"Santa Nella CDP, CA",0.015,70028
4701,"South Dos Palos CDP, CA",0.015,72954
4701,"Stevinson CDP, CA",0.003,74144
4701,"Volta CDP, CA",0.003,83108
4701,Unincorporated_4701,0.238,99999
4702,"Atwater city, CA",0.193,3162
4702,"Bear Creek CDP, CA",0.002,4632
4702,"Cressey CDP, CA",0.002,17078
4702,"Franklin CDP, CA",0.038,25488
4702,"McSwain CDP, CA",0.027,45006
4702,"Merced city, CA",0.543,46898
4702,"Planada CDP, CA",0.024,57582
4702,"Snelling CDP, CA",0.002,72408
4702,"Tuttle CDP, CA",0.001,80882
4702,"Winton CDP, CA",0.06,86076
4702,Unincorporated_4702,0.107,99999
5301,"Aromas CDP, CA",0.006,2812
5301,"Carmel-by-the-Sea city, CA",0.046,11250
5301,"Carmel Valley Village CDP, CA",0.029,11324
5301,"Castroville CDP, CA",0.021,11978
5301,"Del Monte Forest CDP, CA",0.038,18590
5301,"Del Rey Oaks city, CA",0.01,18688
5301,"Elkhorn CDP, CA",0.008,22034
5301,"Las Lomas CDP, CA",0.008,40592
5301,"Marina city, CA",0.097,45778
5301,"Monterey city, CA",0.184,48872
5301,"Moss Landing CDP, CA",0.001,49488
5301,"Pacific Grove city, CA",0.11,54848
5301,"Pajaro CDP, CA",0.009,55044
5301,"Prunedale CDP, CA",0.059,58870
5301,"Sand City city, CA",0.002,65112
5301,"Seaside city, CA",0.147,70742
5301,Unincorporated_5301,0.224,99999
5302,"Boronda CDP, CA",0.009,7578
5302,"Prunedale CDP, CA",0.036,58870
5302,"Salinas city, CA",0.913,64224
5302,"Spreckels CDP, CA",0.005,73612
5302,Unincorporated_5302,0.036,99999
5303,"Aromas CDP, CA",0.013,2812
5303,"Bradley CDP, CA",0.001,7974
5303,"Chualar CDP, CA",0.007,13364
5303,"Gonzales city, CA",0.055,30392
5303,"Greenfield city, CA",0.104,30994
5303,"Hollister city, CA",0.287,34120
5303,"King City city, CA",0.089,38520
5303,"Lockwood CDP, CA",0.005,42146
5303,"Pine Canyon CDP, CA",0.016,57070
5303,"Ridgemark CDP, CA",0.035,60706
5303,"San Ardo CDP, CA",0.004,64476
5303,"San Juan Bautista city, CA",0.021,68014
5303,"San Lucas CDP, CA",0.002,68140
5303,"Soledad city, CA",0.107,72520
5303,"Tres Pinos CDP, CA",0.005,80364
5303,Unincorporated_5303,0.249,99999
5500,"American Canyon city, CA",0.109,1640
5500,"Angwin CDP, CA",0.017,2168
5500,"Calistoga city, CA",0.042,9892
5500,"Deer Park CDP, CA",0.013,18324
5500,"Moskowite Corner CDP, CA",0.002,49432
5500,"Napa city, CA",0.551,50258
5500,"Oakville CDP, CA",0.001,53196
5500,"Rutherford CDP, CA",0.002,63400
5500,"St. Helena city, CA",0.051,64140
5500,"Silverado Resort CDP, CA",0.023,71927
5500,"Yountville city, CA",0.023,86930
5500,Unincorporated_5500,0.168,99999
5700,"Alleghany CDP, CA",0.001,982
5700,"Alta Sierra CDP, CA",0.055,1360
5700,"Calpine CDP, CA",0.003,10004
5700,"Downieville CDP, CA",0.004,19794
5700,"Floriston CDP, CA",0.001,24526
5700,"Goodyears Bar CDP, CA",0.001,30420
5700,"Graniteville CDP, CA",0.001,30714
5700,"Grass Valley city, CA",0.121,30798
5700,"Kingvale CDP, CA",0.006,38604
5700,"Lake of the Pines CDP, CA",0.032,39690
5700,"Lake Wildwood CDP, CA",0.048,39885
5700,"Loyalton city, CA",0.007,44364
5700,"Nevada City city, CA",0.027,50874
5700,"North San Juan CDP, CA",0.003,52246
5700,"Penn Valley CDP, CA",0.012,56518
5700,"Pike CDP, CA",0.002,57036
5700,"Rough and Ready CDP, CA",0.009,63106
5700,"Sattley CDP, CA",0.001,70336
5700,"Sierra Brooks CDP, CA",0.004,71774
5700,"Sierra City CDP, CA",0.005,71778
5700,"Sierraville CDP, CA",0.002,71848
5700,"Soda Springs CDP, CA",0.002,72492
5700,"Truckee town, CA",0.233,80588
